geo:Geometry geo:asWKT geo:wktLiteral
cube:Observation cbs:leegstaandeWoningen xsd:nonNegativeInteger
cbs:Wijk geo:sfWithin cbs:Gemeente
owl:DatatypeProperty dct:subject bag:InOnderzoekVerblijfsobject
kad:PubliekrechtelijkeBeperking kad:gevestigdOp sor:Gebouw
bag:VoorkomenLV sor:beschrijft bag:Woonplaats
cube:Observation cbs:aardgasverbruikTussenwoning xsd:nonNegativeInteger
sor:Gebouw geo:sfWithin cbs:Buurt
bag:Woonplaats nen3610:identificatie xsd:string
owl:DatatypeProperty dct:subject skos:Concept
cube:Observation cbs:koopwoningen xsd:nonNegativeInteger
sor:Gebruiksdoel rdfs:isDefinedBy owl:Ontology
cube:Observation cbs:elektriciteitsverbruikTussenwoning xsd:nonNegativeInteger
cube:Observation cbs:middelbareScholen10 xsd:decimal
kad:Gebouwtype skos:inScheme skos:ConceptScheme
sor:Waterschap prov:generatedAtTime xsd:gYear
bag:Woonplaats bag:documentnummer xsd:string
cube:Observation cbs:bedrijfsvestigingenA xsd:nonNegativeInteger
sor:Gebouwzone kad:mutatietype kad:Mutatietype
sor:Gebouwzone kad:hoogteniveau xsd:nonPositiveInteger
sor:Perceel geo:sfWithin sor:Gemeente
bag:OpenbareRuimte nen3610:domein xsd:string
owl:Class rdfs:comment xsd:string
cube:Observation cbs:poppodium xsd:decimal
cube:Observation cbs:hogerOnderwijs3 xsd:decimal
kad:Koppeling rdf:object sor:Nummeraanduiding
kad:PubliekrechtelijkeBeperking kad:grondslag skos:Concept
sor:Gebouw sor:bronhouder sor:Gemeente
cube:Observation cbs:gemiddeldeWoningwaarde xsd:nonNegativeInteger
cube:Observation cbs:mannen xsd:nonNegativeInteger
cube:Observation cbs:spatialExtent cbs:Gemeente
kad:FysiekVoorkomen skos:inScheme skos:ConceptScheme
cube:Observation cbs:bouwklasseTot2000 xsd:nonNegativeInteger
bag:Pand nen3610:geregistreerdMet bag:VoorkomenLV
mim:Objecttype mim:indicatieAbstractObject xsd:boolean
cube:Observation cbs:oprit xsd:decimal
cube:Observation cbs:overigeNietwesterseAllochtonen xsd:nonNegativeInteger
cube:Observation cbs:bedrijfsvestigingenHJ xsd:nonNegativeInteger
sh:NodeShape rdfs:label xsd:string
cube:Observation cbs:inkomensontvangers xsd:nonNegativeInteger
sor:Gebouwzone kad:fysiekVoorkomen skos:Concept
cube:Observation cbs:bedrijfsvestigingenGI xsd:nonNegativeInteger
skos:Concept dct:source xsd:anyURI
owl:DatatypeProperty rdfs:comment rdf:HTML
nen3610:Registratiegegevens nen3610:objectBegintijd xsd:date
cube:Observation cbs:bioscopen5 xsd:decimal
cbs:Wijk sdo0:identifier xsd:string
cube:Observation cbs:aardgasverbruikVrijstaand xsd:nonNegativeInteger
owl:NamedIndividual rdfs:label xsd:string
cube:Observation cbs:temporalExtent time:TemporalEntity
owl:DatatypeProperty rdfs:range rdfs:Class
kad:Standplaats sor:nevenadres sor:Nummeraanduiding
cube:Observation cbs:basisscholen1 xsd:decimal
sh:PropertyShape sh:datatype rdfs:Datatype
sor:Gemeente prov:generatedAtTime xsd:gYear
sor:Brondocument sor:documentnummer xsd:string
cube:Observation cbs:overigeWinkel xsd:decimal
cube:Observation cbs:middelbareSchool xsd:decimal
sh:NodeShape mim:herkomst xsd:string
cube:Observation cbs:huisartsenpraktijken1 xsd:decimal
bag:Nummeraanduiding bag:voorkomen bag:VoorkomenLV
sh:NodeShape sh:name xsd:string
cube:Observation cbs:vmbo5 xsd:decimal
cube:Observation cbs:personenLaagInkomen xsd:nonNegativeInteger
cube:Observation cbs:nietActieven xsd:nonNegativeInteger
owl:Class skos:altLabel xsd:string
sor:Verblijfsobject geo:hasGeometry gml:Point
mim:Objecttype mim:populatie xsd:string
bag:OpenbareRuimte bag:documentnummer xsd:string
owl:Class rdfs:isDefinedBy owl:Ontology
sor:Gebouw sor:bronhouder sor:LandelijkeOrganisatie
cube:Observation cbs:buitenschoolseOpvang xsd:decimal
sh:PropertyShape sh:class owl:Class
owl:Ontology owl:imports owl:Ontology
cube:Observation cbs:aardgasverbruikHuurwoning xsd:nonNegativeInteger
sh:PropertyShape sh:uniqueLang xsd:boolean
cube:Observation cbs:musea5 xsd:decimal
cube:Observation cbs:turken xsd:nonNegativeInteger
cube:Observation cbs:supermarkten3 xsd:decimal
sor:Gebouw sor:bronhouder sor:Waterschap
kad:Grondslag skos:inScheme skos:ConceptScheme
owl:DatatypeProperty rdfs:subPropertyOf owl:DatatypeProperty
owl:Class mim:populatie xsd:string
sor:Gebouwzone geo:hasGeometry gml:Surface
kad:Mutatietype skos:inScheme skos:ConceptScheme
sh:NodeShape mim:toelichting xsd:string
sor:Registratiegegevens kad:bronnauwkeurigheid xsd:double
cube:Observation cbs:éénpersoonshuishoudens xsd:nonNegativeInteger
cube:Observation cbs:basisscholen5 xsd:decimal
skos:Concept skos:scopeNote rdf:HTML
cube:Observation cbs:elektriciteitsverbruikVrijstaand xsd:nonNegativeInteger
cube:Observation cbs:huishoudensHoogInkomen xsd:nonNegativeInteger
cube:Observation cbs:warenhuis xsd:decimal
mim:Objecttype mim:datumOpname xsd:string
bag:Verblijfsobject bag:gebruiksdoel bag:Gebruiksdoel
kad:Hoogteklasse skos:inScheme skos:ConceptScheme
cube:Observation cbs:supermarkt xsd:decimal
cube:Observation cbs:personenautos xsd:nonNegativeInteger
cube:Observation cbs:sociaalMinimum xsd:nonNegativeInteger
bag:Standplaats bag:documentdatum xsd:date
bag:Ligplaats bag:nevenadres bag:Nummeraanduiding
bag:Standplaats bag:nevenadres bag:Nummeraanduiding
bag:Nummeraanduiding bag:ligtAan bag:OpenbareRuimte
mim:Objecttype skos:altLabel xsd:string
cube:Observation cbs:supermarkten1 xsd:decimal
sor:Perceel geo:hasGeometry gml:Surface
cube:Observation cbs:middelbareScholen5 xsd:decimal
kad:Ligplaats sor:hoofdadres sor:Nummeraanduiding
owl:Class dcelements:date xsd:date
cube:Observation cbs:musea10 xsd:decimal
bag:Standplaats nen3610:domein xsd:string
sor:Verblijfsobject sor:maaktDeelUitVan sor:Gebouw
sh:PropertyShape dct:source xsd:anyURI
sor:Verblijfsobject sor:nevenadres sor:Nummeraanduiding
sor:Gebouwzone kad:status skos:Concept
sor:Registratiegegevens sor:afgeleidVan sor:RegistratiegegevensExtern
rdf:Property rdfs:range rdfs:Class
mim:Objecttype sh:targetClass rdfs:Class
cube:Observation cbs:zonnebank xsd:decimal
owl:NamedIndividual rdfs:domain owl:Class
cube:Observation cbs:vrouwen xsd:nonNegativeInteger
owl:Class dct:subject bag:InOnderzoekVerblijfsobject
rdfs:Resource rdfs:comment rdfs:Literal
bag:Woonplaats nen3610:geregistreerdMet bag:VoorkomenLV
sh:PropertyShape sh:path owl:DatatypeProperty
nen3610:Constructie sor:bronhouder kad:Overheidsorganisatie
owl:Ontology dct:source xsd:anyURI
sor:OpenbareRuimte sor:ligtIn sor:Woonplaats
sor:Gebouwzone kad:fysiekVoorkomen kad:FysiekVoorkomen
cube:Observation cbs:huurwoningen xsd:nonNegativeInteger
owl:Class dct:subject skos:Concept
kad:Koppeling rdf:subject sor:Perceel
owl:Ontology dcelements:title xsd:string
sor:Gebruiksdoel owl:sameAs bag:Gebruiksdoel
cube:Observation cbs:geweldsmisdrijven xsd:nonNegativeInteger
nen3610:Registratiegegevens nen3610:tijdstipRegistratie xsd:dateTime
cube:Observation cbs:overigeWinkels3 xsd:decimal
cube:Observation cbs:elektriciteitsverbruik xsd:nonNegativeInteger
bag:OpenbareRuimte nen3610:identificatie xsd:string
cube:Observation cbs:restaurants5 xsd:decimal
owl:Ontology dcelements:description xsd:string
cube:Observation cbs:ziekenhuizen20 xsd:decimal
sor:Gebouwzone kad:soortnaam xsd:string
bag:VoorkomenLV sor:beschrijft sor:Nummeraanduiding
cube:Observation cbs:verweduwd xsd:nonNegativeInteger
