DATA TYPE EDGES:
('nen3610:GeoObject', 'nen3610:domein', 'xsd:string')
('nen3610:GeoObject', 'nen3610:identificatie', 'xsd:string')
('nen3610:Registratiegegevens', 'nen3610:beginGeldigheid', 'xsd:date')
('nen3610:Registratiegegevens', 'nen3610:eindGeldigheid', 'xsd:date')
('nen3610:Registratiegegevens', 'nen3610:eindRegistratie', 'xsd:dateTime')
('nen3610:Registratiegegevens', 'nen3610:objectBegintijd', 'xsd:date')
('nen3610:Registratiegegevens', 'nen3610:objectEindtijd', 'xsd:date')
('nen3610:Registratiegegevens', 'nen3610:tijdstipRegistratie', 'xsd:dateTime')
('nen3610:Registratiegegevens', 'nen3610:versie', 'xsd:positiveInteger')
('brt:Waterdeel', 'brt:naamNL', 'xsd:string')
('brt:_top10nlobject', 'brt:bronactualiteit', 'xsd:date')
('brt:Wegdeel', 'brt:hoogteniveau', 'xsd:integer')
('brt:Inrichtingselement', 'brt:nummer', 'xsd:string')
('brt:Waterdeel', 'brt:sluisnaam', 'xsd:string')
('brt:RegistratiefGebied', 'brt:nummer', 'xsd:string')
('brt:Relief', 'brt:hoogteniveau', 'xsd:integer')
('brt:Plaats', 'brt:naamNL', 'xsd:string')
('brt:Wegdeel', 'brt:eWegnummer', 'xsd:string')
('brt:Gebouw', 'brt:soortnaam', 'xsd:string')
('brt:Plaats', 'brt:aantalinwoners', 'xsd:integer')
('brt:Waterdeel', 'brt:hoogteniveau', 'xsd:integer')
('brt:Wegdeel', 'brt:aWegnummer', 'xsd:string')
('brt:Gebouw', 'brt:hoogteniveau', 'xsd:integer')
('brt:_top10nlobject', 'brt:visualisatieCode', 'xsd:integer')
('brt:Spoorbaandeel', 'brt:brugnaam', 'xsd:string')
('brt:RegistratiefGebied', 'brt:naamFries', 'xsd:string')
('brt:Wegdeel', 'brt:knooppuntnaam', 'xsd:string')
('brt:Wegdeel', 'brt:nWegnummer', 'xsd:string')
('brt:Wegdeel', 'brt:afritnaam', 'xsd:string')
('brt:Inrichtingselement', 'brt:naam', 'xsd:string')
('brt:Inrichtingselement', 'brt:breedte', 'xsd:integer')
('brt:Waterdeel', 'brt:naamFries', 'xsd:string')
('brt:Plaats', 'brt:naamOfficieel', 'xsd:string')
('brt:GeografischGebied', 'brt:naamNL', 'xsd:string')
('brt:Waterdeel', 'brt:naamOfficieel', 'xsd:string')
('brt:_top10nlobject', 'brt:eindRegistratie', 'xsd:date')
('brt:FunctioneelGebied', 'brt:naamNL', 'xsd:string')
('geo:Geometry', 'geo:asWKT', 'geo:wktLiteral')
('brt:_top10nlobject', 'brt:tdnCode', 'xsd:integer')
('brt:Wegdeel', 'brt:afritnummer', 'xsd:string')
('brt:Terrein', 'brt:naam', 'xsd:string')
('brt:Spoorbaandeel', 'brt:tunnelnaam', 'xsd:string')
('brt:Spoorbaandeel', 'brt:hoogteniveau', 'xsd:integer')
('brt:_top10nlobject', 'brt:objectBeginTijd', 'xsd:date')
('brt:Terrein', 'brt:hoogteniveau', 'xsd:integer')
('brt:RegistratiefGebied', 'brt:naamNL', 'xsd:string')
('brt:FunctioneelGebied', 'brt:soortnaam', 'xsd:string')
('brt:Inrichtingselement', 'brt:hoogteniveau', 'xsd:integer')
('brt:Plaats', 'brt:naamFries', 'xsd:string')
('brt:Waterdeel', 'brt:brugnaam', 'xsd:string')
